Fish,Date,Location,Site,CentralLatitude,CentralLongitude,AgeCategory,Species,TotalLength_mm,ForkLength_mm,TotalWeight_g,LiverWeight_g,GonadWeight_g,SubgonadWeight_g,Sex,Filet,FieldComments,DateWW,Vial_g,FiletandVialWW_g,Date_dw,FiletandVialDW_g,Comments,PercentMoisture,DmaDate,MassAnalyzed_g,Hg_ng,Hg_ug,Hg_ug_per_kgww,Hg_ug_per_kgdw,DmaComments
REF-YP-YOY-25,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,75,71,4.1,,,,,N,,,,,,,,,,,,,,,
REF-YP-YOY-26,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,64,62,2.4,,,,,N,,,,,,,,,,,,,,,
REF-YP-YOY-27,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,75,71,3.8,,,,,N,,,,,,,,,,,,,,,
REF-YP-YOY-28,2020-09-21,Saint John River,REF,46.18625,-67.554377,YOY,Yellow Perch,74,70,3.9,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-1,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,58,2.1,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-2,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,67,3.2,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-3,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.8,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-4,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,68,3.6,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-5,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,67,3.5,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-6,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,76,72,4.5,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-7,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.1,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-8,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,73,68,3,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-9,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,71,68,3.5,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-10,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,65,62,2.8,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-11,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,73,68,3.9,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-12,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,61,58,2.6,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-13,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,65,3.5,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-14,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,66,63,3,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-15,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,64,61,3.1,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-16,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,70,67,3.7,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-17,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,65,3.6,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-18,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,65,62,3,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-19,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,55,53,1.7,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-20,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,77,72,5,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-21,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.7,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-22,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,60,56,2.4,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-23,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,73,69,4,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-24,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,72,69,4.1,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-25,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,66,3.4,,,,,Y,,,,,,,,,,,,,,,
FF-YP-YOY-26,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,60,57,2.4,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-27,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,61,57,2.2,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-28,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,69,65,3.7,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-29,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,63,60,2.7,,,,,N,,,,,,,,,,,,,,,
FF-YP-YOY-30,2020-10-01,Saint John River,FF,45.805451,-66.141779,YOY,Yellow Perch,70,67,4,,,,,N,,,,,,,,,,,,,,,
